Nome Veículo,Nomes dos Trajeto,Número de Tuplas,Tempo do Trajeto (s),Frequência de dados (s),Desvio da Frequência de dados (s),Pontos utilizados Web ,Distancia Web Percorrida (KM),Distancia Euclediano Percorrida (KM),Número de dados processados,Media Combustivel (%),Desvio Combustivel (%),Filtro de Kalman (%),Sigma 1 (%),Sigma 2 (%),Sigma 3 (%)
Spin,dados/15_01_2024/Spin/Inmetro-EletroNuclear/OBDLink.csv,99493,6220.993000,0.062528,0.249084,0,0.000000,100.646368,1886,53.751897,9.692615,31.013725,14.866667,31.013725,31.013725
Spin,dados/19_01_2024/Spin/EletroNuclear_Inmetro/OBDLink.csv,15853,1367.305000,0.086254,0.277599,0,0.000000,23.873582,242,81.665857,7.111791,11.227451,11.811765,9.949020,11.227451
Spin,dados/19_01_2024/Spin/EletroNuclear_Inmetro/OBDLink2.csv,1190034,10964.726000,0.009214,0.093916,0,0.000000,190.995922,1811,84.576607,10.169376,49.119608,13.111765,46.943137,48.668627
Van,dados/16_01_2024/Van/Alojamento3-Transporte-Controle-Alojamento3_23/OBDLink.csv,240074,4413.603000,0.018384,0.205220,0,0.000000,41.802948,1,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Van,dados/16_01_2024/Van/Gara-Controle/OBDLink.csv,258726,3114.221000,0.012037,1.741486,0,0.000000,27.832654,14,64.453781,0.920966,2.563333,0.563333,2.194444,2.563333
Van,dados/16_01_2024/Van/Gara-Controle_2/OBDLink.csv,264023,4681.667000,0.017732,0.118918,0,0.000000,57.718966,36,61.307188,1.663781,2.625556,1.324444,2.567778,2.625556
Van,dados/16_01_2024/Van/Transporte-Angra1/OBDLink.csv,40600,763.550000,0.018807,0.125719,0,0.000000,5.883412,1,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Van,dados/16_01_2024/Van/Transporte-Controle-Posto_15/OBDLink_1.csv,158348,5219.302000,0.032961,0.312339,0,0.000000,40.618442,42,52.847806,2.762131,0.862222,1.154444,0.875556,0.862222
Van,dados/16_01_2024/Van/Transporte-Controle-Posto_15/OBDLink_2.csv,38284,843.898000,0.022044,0.137383,0,0.000000,10.370644,7,47.170871,0.582202,-0.600000,0.000000,-0.600000,-0.600000
Van,dados/17_01_2024/Van/Alojamento3-Transporte_7/OBDLink.csv,881,892.046000,1.013689,0.322484,0,0.000000,11.131203,1,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Van,dados/17_01_2024/Van/Angra1-Alojamento1/OBDLink.csv,2536,2650.792000,1.045677,0.897561,0,0.000000,28.999991,20,89.784315,1.870367,3.076667,2.171111,3.076667,3.076667
Van,dados/17_01_2024/Van/Transporte-Controle_15/OBDLink.csv,1174,1339.202000,1.141690,1.010814,0,0.000000,8.367046,10,80.980393,0.898541,1.537778,0.000000,1.537778,1.537778
Van,dados/17_01_2024/Van/Transporte-Controle_15/OBDLink_2.csv,2527,3283.686000,1.299955,7.608507,0,0.000000,29.891328,23,77.732312,1.945230,2.865556,1.316667,2.742222,2.865556
Van,dados/17_01_2024/Van/Transporte-Controle_7/OBDLink.csv,5230,5916.758000,1.131528,3.129767,0,0.000000,59.160133,51,95.732411,1.558304,4.108889,1.572222,3.261111,4.108889
Van,dados/18_01_2024/Van/Alojamento1-Controle-Transporte_7/OBDLink.csv,45888,5194.897000,0.113211,0.310854,0,0.000000,35.653111,31,43.478809,1.535843,2.758889,1.660000,2.758889,2.758889
Van,dados/18_01_2024/Van/Alojamento3-Alojamento1/OBDLink_2.csv,21559,1113.712000,0.051661,0.210530,0,0.000000,12.933341,5,46.352942,0.384237,0.404444,0.000000,0.404444,0.404444
Van,dados/18_01_2024/Van/Transporte-Alojamento1/OBDLink_1.csv,17426,4256.238000,0.244260,0.421947,0,0.000000,27.333661,25,36.423530,1.569881,3.341111,1.751111,2.678889,3.341111
Van,dados/18_01_2024/Van/Transporte-Alojamento1/OBDLink_2.csv,12118,3032.180000,0.250242,0.426767,0,0.000000,30.054074,27,33.202616,0.554592,0.293333,0.638889,0.638889,0.293333
Van,dados/18_01_2024/Van/Transporte-Alojamento3/OBDLink.csv,3800,4081.129000,1.074264,1.419094,0,0.000000,42.449468,31,89.184061,1.846847,2.880000,2.375556,3.474444,2.880000
